product_id,supplier_id,customer_id,LifeTimeCustomerValue,LifeTimePayment,carrier,avg_rating,AvgItemPriceAtPurchase,TotalQuantity,product_name,delivery_date,shipment_date,category,shipment_status,ShippedProductPrice
52,552,4552,15221.380000000001,1464.2399999999998,DHL,2,861.68,1,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,159.46
52,552,4552,15221.380000000001,1464.2399999999998,DHL,2,855.93,4,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,159.46
1552,552,4552,15221.380000000001,1464.2399999999998,DHL,2,733.51,4,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,521.39
1552,552,4552,15221.380000000001,1464.2399999999998,DHL,2,711.2,9,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,521.39
52,552,4552,15221.380000000001,1464.2399999999998,DHL,2,651.3,5,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,159.46
1552,552,4552,15221.380000000001,1464.2399999999998,DHL,2,410.9,10,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,521.39
52,552,4552,15221.380000000001,1464.2399999999998,DHL,2,400.03,5,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,159.46
1552,552,4552,15221.380000000001,1464.2399999999998,DHL,2,386.62,9,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,521.39
1552,552,4552,15221.380000000001,1464.2399999999998,DHL,2,281.34,5,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,521.39
1552,552,4552,15221.380000000001,1464.2399999999998,DHL,2,237.37,2,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,521.39
52,552,4552,15221.380000000001,1464.2399999999998,DHL,2,162.96,4,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,159.46
52,552,4552,15221.380000000001,1464.2399999999998,DHL,2,154.02,9,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,159.46
52,552,4552,15221.380000000001,1464.2399999999998,DHL,2,86.76,9,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,159.46
52,552,4552,15221.380000000001,1464.2399999999998,DHL,2,53.83,8,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,159.46
52,552,4552,15221.380000000001,1464.2399999999998,DHL,2,14.09,2,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,159.46
1552,552,4552,15221.380000000001,1464.2399999999998,DHL,2,9.31,1,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,521.39
1552,552,4552,15221.380000000001,1464.2399999999998,DHL,2,7.01,1,"Coffee Maker",2024-03-15,2024-03-08,"Home & Kitchen",Delivered,521.39
8,508,9008,3723.68,1437.8999999999999,UPS,2,859.7,7,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
8,508,9008,3723.68,1437.8999999999999,UPS,2,824.2,2,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
1508,508,9008,3723.68,1437.8999999999999,UPS,2,634.9,4,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,265.45
8,508,9008,3723.68,1437.8999999999999,UPS,2,588.41,3,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
8,508,9008,3723.68,1437.8999999999999,UPS,2,577.18,2,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
1508,508,9008,3723.68,1437.8999999999999,UPS,2,456.72,2,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,265.45
8,508,9008,3723.68,1437.8999999999999,UPS,2,421.47,8,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
1508,508,9008,3723.68,1437.8999999999999,UPS,2,364.73,6,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,265.45
8,508,9008,3723.68,1437.8999999999999,UPS,2,322.28,5,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
1508,508,9008,3723.68,1437.8999999999999,UPS,2,209.35,5,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,265.45
1508,508,9008,3723.68,1437.8999999999999,UPS,2,175.66,8,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,265.45
8,508,9008,3723.68,1437.8999999999999,UPS,2,41.03,3,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
8,508,9008,3723.68,1437.8999999999999,UPS,2,25.6,3,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
1508,508,9008,3723.68,1437.8999999999999,UPS,2,23.25,3,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,265.45
8,508,9008,3723.68,1437.8999999999999,UPS,2,23.11,3,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
8,508,9008,3723.68,1437.8999999999999,UPS,2,6.53,1,"External SSD",2024-01-25,2024-01-21,Electronics,Shipped,522.82
1533,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,867.01,3,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,143.49
33,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,742.84,8,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,148.6
1533,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,721.38,3,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,143.49
33,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,644.83,10,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,148.6
1533,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,638.01,9,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,143.49
33,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,600.4,6,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,148.6
1533,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,515.23,5,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,143.49
33,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,495.42,2,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,148.6
1533,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,477.4,5,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,143.49
33,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,371.97,5,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,148.6
1533,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,197.46,10,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,143.49
33,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,143.61,3,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,148.6
33,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,78.34,4,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,148.6
33,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,26.31,3,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,148.6
1533,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,11.45,2,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,143.49
1533,533,7533,5278.5599999999995,1680.3000000000002,FedEx,4,2.42,1,"WiFi Router",2024-04-25,2024-04-17,Electronics,Delivered,143.49
1510,510,10,401.08,1870,UPS,2,861.52,9,"Gaming Keyboard",2024-03-02,2024-02-25,Electronics,Delivered,316.32
